Date/Time,Step Count (count),Source
2020-05-18 00:00:00,823,Gekyume
2020-05-19 00:00:00,885,Gekyume
2020-05-20 00:00:00,1194,Gekyume
2020-05-21 00:00:00,1037,Gekyume
2020-05-22 00:00:00,527,Gekyume
2020-05-23 00:00:00,824,Gekyume
2020-05-24 00:00:00,420,Gekyume
2020-05-25 00:00:00,912,Gekyume
2020-05-26 00:00:00,930,Gekyume
2020-05-27 00:00:00,838,Gekyume
2020-05-28 00:00:00,808,Gekyume
2020-05-29 00:00:00,1598,Gekyume
2020-05-30 00:00:00,654,Gekyume
2020-05-31 00:00:00,854,Gekyume
2020-06-01 00:00:00,1169,Gekyume
2020-06-02 00:00:00,628,Gekyume
2020-06-03 00:00:00,2127,Gekyume
2020-06-04 00:00:00,1235,Gekyume
2020-06-05 00:00:00,813,Gekyume
2020-06-06 00:00:00,1525,Gekyume
2020-06-07 00:00:00,1047,Gekyume
2020-06-08 00:00:00,975,Gekyume
2020-06-09 00:00:00,1184,Gekyume
2020-06-10 00:00:00,1416,Gekyume
2020-06-11 00:00:00,570,Gekyume
2020-06-12 00:00:00,1083,Gekyume
2020-06-13 00:00:00,556,Gekyume
2020-06-14 00:00:00,494,Gekyume
2020-06-15 00:00:00,342,Gekyume
2020-06-16 00:00:00,1027,Gekyume
2020-06-17 00:00:00,387,Gekyume
2020-06-18 00:00:00,784,Gekyume
2020-06-19 00:00:00,894,Gekyume
2020-06-20 00:00:00,422,Gekyume
2020-06-21 00:00:00,299,Gekyume
2020-06-22 00:00:00,1354,Gekyume
2020-06-23 00:00:00,852,Gekyume
2020-06-24 00:00:00,1025,Gekyume
2020-06-25 00:00:00,1500,Gekyume
2020-06-26 00:00:00,982,Gekyume
2020-06-27 00:00:00,1142,Gekyume
2020-06-28 00:00:00,907,Gekyume
2020-06-29 00:00:00,1378,Gekyume
2020-06-30 00:00:00,1075,Gekyume
2020-07-01 00:00:00,1135,Gekyume
2020-07-02 00:00:00,1353,Gekyume
2020-07-03 00:00:00,1038,Gekyume
2020-07-04 00:00:00,1977,Gekyume
2020-07-05 00:00:00,1205,Gekyume
2020-07-06 00:00:00,1002,Gekyume
2020-07-07 00:00:00,1010,Gekyume
2020-07-08 00:00:00,1223,Gekyume
2020-07-09 00:00:00,1369,Gekyume
2020-07-10 00:00:00,1099,Gekyume
2020-07-11 00:00:00,888,Gekyume
2020-07-12 00:00:00,4153,Gekyume
2020-07-13 00:00:00,1054,Gekyume
2020-07-14 00:00:00,694,Gekyume
2020-07-15 00:00:00,976,Gekyume
2020-07-16 00:00:00,1490,Gekyume
2020-07-17 00:00:00,1803,Gekyume
2020-07-18 00:00:00,935,Gekyume
2020-07-19 00:00:00,1659,Gekyume
2020-07-20 00:00:00,1128,Gekyume
2020-07-21 00:00:00,883,Gekyume
2020-07-22 00:00:00,888,Gekyume
2020-07-23 00:00:00,723,Gekyume
2020-07-24 00:00:00,1408,Gekyume
2020-07-25 00:00:00,427,Gekyume
2020-07-26 00:00:00,597,Gekyume
2020-07-27 00:00:00,768,Gekyume
2020-07-28 00:00:00,984,Gekyume
2020-07-29 00:00:00,1133,Gekyume
2020-07-30 00:00:00,557,Gekyume
2020-07-31 00:00:00,761,Gekyume
2020-08-01 00:00:00,863,Gekyume
2020-08-02 00:00:00,809,Gekyume
2020-08-03 00:00:00,373,Gekyume
2020-08-04 00:00:00,530,Gekyume
2020-08-05 00:00:00,859,Gekyume
2020-08-06 00:00:00,628,Gekyume
2020-08-07 00:00:00,3409,Gekyume
2020-08-08 00:00:00,1120,Gekyume
2020-08-09 00:00:00,1075,Gekyume
2020-08-10 00:00:00,833,Gekyume
2020-08-11 00:00:00,922,Gekyume
2020-08-12 00:00:00,343,Gekyume
2020-08-13 00:00:00,639,Gekyume
2020-08-14 00:00:00,1199,Gekyume
2020-08-15 00:00:00,366,Gekyume
2020-08-16 00:00:00,916,Gekyume
2020-08-17 00:00:00,1023,Gekyume
2020-08-18 00:00:00,821,Gekyume
2020-08-19 00:00:00,298,Gekyume
2020-08-20 00:00:00,1442,Gekyume
2020-08-21 00:00:00,1438,Gekyume
2020-08-22 00:00:00,1166,Gekyume
2020-08-23 00:00:00,345,Gekyume
2020-08-24 00:00:00,516,Gekyume
2020-08-25 00:00:00,311,Gekyume
2020-08-26 00:00:00,456,Gekyume
2020-08-27 00:00:00,918,Gekyume
2020-08-28 00:00:00,1381,Gekyume
2020-08-29 00:00:00,928,Gekyume
2020-08-30 00:00:00,4835,Gekyume
2020-08-31 00:00:00,1440,Gekyume
2020-09-01 00:00:00,2511,Gekyume
2020-09-02 00:00:00,1278,Gekyume
2020-09-03 00:00:00,375,Gekyume
2020-09-04 00:00:00,1644,Gekyume
2020-09-05 00:00:00,534.93,Gekyume
2020-09-06 00:00:00,1540,Gekyume
2020-09-07 00:00:00,4705,Gekyume
2020-09-08 00:00:00,759,Gekyume
2020-09-09 00:00:00,935,Gekyume
2020-09-10 00:00:00,635,Gekyume
2020-09-11 00:00:00,444,Gekyume
2020-09-12 00:00:00,911,Gekyume
2020-09-13 00:00:00,1117,Gekyume
2020-09-14 00:00:00,983,Gekyume
2020-09-15 00:00:00,512,Gekyume
2020-09-16 00:00:00,2018,Gekyume
2020-09-17 00:00:00,605,Gekyume
2020-09-18 00:00:00,1335,Gekyume
2020-09-19 00:00:00,2210,Gekyume
2020-09-20 00:00:00,505,Gekyume
2020-09-21 00:00:00,1711,Gekyume
2020-09-22 00:00:00,1203,Gekyume
2020-09-23 00:00:00,2009,Gekyume
2020-09-24 00:00:00,1208,Gekyume
2020-09-25 00:00:00,954,Gekyume
2020-09-26 00:00:00,2395,Gekyume
2020-09-27 00:00:00,859,Gekyume
2020-09-28 00:00:00,1174,Gekyume
2020-09-29 00:00:00,535,Gekyume
2020-09-30 00:00:00,2067,Gekyume
2020-10-01 00:00:00,528,Gekyume
2020-10-02 00:00:00,512,Gekyume
2020-10-03 00:00:00,3083,Gekyume
2020-10-04 00:00:00,572,Gekyume
2020-10-05 00:00:00,1437,Gekyume
2020-10-06 00:00:00,593,Gekyume
2020-10-07 00:00:00,1690,Gekyume
2020-10-08 00:00:00,541,Gekyume
2020-10-09 00:00:00,522,Gekyume
2020-10-10 00:00:00,880,Gekyume
2020-10-11 00:00:00,714,Gekyume
2020-10-12 00:00:00,1931,Gekyume
2020-10-13 00:00:00,970,Gekyume
2020-10-14 00:00:00,897,Gekyume
2020-10-15 00:00:00,933,Gekyume
2020-10-16 00:00:00,605,Gekyume
2020-10-17 00:00:00,1368,Gekyume
2020-10-18 00:00:00,3371,Gekyume
2020-10-19 00:00:00,540,Gekyume
2020-10-20 00:00:00,1074,Gekyume
2020-10-21 00:00:00,1771,Gekyume
2020-10-22 00:00:00,352,Gekyume
2020-10-23 00:00:00,936,Gekyume
2020-10-24 00:00:00,413,Gekyume
2020-10-25 00:00:00,930,Gekyume
2020-10-26 00:00:00,1636,Gekyume
2020-10-27 00:00:00,952,Gekyume
2020-10-28 00:00:00,516,Gekyume
2020-10-29 00:00:00,642,Gekyume
2020-10-30 00:00:00,872,Gekyume
2020-10-31 00:00:00,770,Gekyume
2020-11-01 00:00:00,1022,Gekyume
2020-11-02 00:00:00,1033,Gekyume
2020-11-03 00:00:00,1212,Gekyume
2020-11-04 00:00:00,534,Gekyume
2020-11-05 00:00:00,752,Gekyume
2020-11-06 00:00:00,607,Gekyume
2020-11-07 00:00:00,848,Gekyume
2020-11-08 00:00:00,616,Gekyume
2020-11-09 00:00:00,786,Gekyume
2020-11-10 00:00:00,1005,Gekyume
2020-11-11 00:00:00,599,Gekyume
2020-11-12 00:00:00,747,Gekyume
2020-11-13 00:00:00,895,Gekyume
2020-11-14 00:00:00,720,Gekyume
2020-11-15 00:00:00,792,Gekyume
2020-11-16 00:00:00,901,Gekyume
2020-11-17 00:00:00,606,Gekyume
2020-11-18 00:00:00,720,Gekyume
2020-11-19 00:00:00,723,Gekyume
2020-11-20 00:00:00,964,Gekyume
