Date/Time,Step Count (count),Source
2020-05-18 00:00:00,7145,Kelvin’s Apple Watch|iPhone
2020-05-19 00:00:00,1938,Kelvin’s Apple Watch|iPhone
2020-05-20 00:00:00,3258,Kelvin’s Apple Watch|iPhone
2020-05-21 00:00:00,4626,Kelvin’s Apple Watch|iPhone
2020-05-22 00:00:00,3668,Kelvin’s Apple Watch|iPhone
2020-05-23 00:00:00,7116,Kelvin’s Apple Watch|iPhone
2020-05-24 00:00:00,9137,Kelvin’s Apple Watch|iPhone
2020-05-25 00:00:00,9013,Kelvin’s Apple Watch|iPhone
2020-05-26 00:00:00,1463,Kelvin’s Apple Watch|iPhone
2020-05-27 00:00:00,1080,Kelvin’s Apple Watch|iPhone
2020-05-28 00:00:00,1368,Kelvin’s Apple Watch|iPhone
2020-05-29 00:00:00,2740,Kelvin’s Apple Watch|iPhone
2020-05-30 00:00:00,1897,Kelvin’s Apple Watch|iPhone
2020-05-31 00:00:00,5700,Kelvin’s Apple Watch|iPhone
2020-06-01 00:00:00,5079,Kelvin’s Apple Watch|iPhone
2020-06-02 00:00:00,1669,Kelvin’s Apple Watch|iPhone
2020-06-03 00:00:00,3899,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-04 00:00:00,5430,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-05 00:00:00,6846,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-06 00:00:00,5850,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-07 00:00:00,4412,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-08 00:00:00,2665,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-09 00:00:00,4483,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-10 00:00:00,2151,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-11 00:00:00,901,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-12 00:00:00,3620,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-13 00:00:00,5152,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-14 00:00:00,3396,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-15 00:00:00,2560,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-16 00:00:00,1798,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-17 00:00:00,1107,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-18 00:00:00,3127,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-19 00:00:00,3113,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-20 00:00:00,9364,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-21 00:00:00,4215,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-22 00:00:00,1346,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-23 00:00:00,3393,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-24 00:00:00,2962,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-25 00:00:00,3611,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-26 00:00:00,2240,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-27 00:00:00,7415,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-28 00:00:00,7734,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-29 00:00:00,7799,Kelvin’s Apple Watch|iPhone|iPhone
2020-06-30 00:00:00,3676,Kelvin’s Apple Watch|iPhone|iPhone
2020-07-01 00:00:00,2336,Kelvin’s Apple Watch|iPhone|iPhone
2020-07-02 00:00:00,3786,Kelvin’s Apple Watch|iPhone|iPhone
2020-07-03 00:00:00,7013,Kelvin’s Apple Watch|iPhone|iPhone
2020-07-04 00:00:00,8226,Kelvin’s Apple Watch|iPhone|iPhone
2020-07-05 00:00:00,2320,Kelvin’s Apple Watch|iPhone|iPhone
2020-07-06 00:00:00,973,Kelvin’s Apple Watch|iPhone|iPhone
2020-07-07 00:00:00,3694,Kelvin’s Apple Watch|iPhone|iPhone
2020-07-08 00:00:00,3305,Kelvin’s Apple Watch|iPhone|iPhone
2020-07-09 00:00:00,3211,Kelvin’s Apple Watch|iPhone|iPhone
2020-07-10 00:00:00,4991,Kelvin’s Apple Watch|iPhone|iPhone
2020-07-11 00:00:00,3890,Kelvin’s Apple Watch|iPhone|iPhone
2020-07-12 00:00:00,3122,Kelvin’s Apple Watch|iPhone|iPhone
2020-07-13 00:00:00,4650,Kelvin’s Apple Watch|iPhone|iPhone
2020-07-14 00:00:00,3904,Kelvin’s Apple Watch|iPhone|iPhone
