Date/Time,Step Count (count),Source
2020-05-18 00:00:00,2988,Veronica's iPhone (2)
2020-05-19 00:00:00,508,Veronica's iPhone (2)
2020-05-20 00:00:00,492,Veronica's iPhone (2)
2020-05-21 00:00:00,210,Veronica's iPhone (2)
2020-05-22 00:00:00,484,Veronica's iPhone (2)
2020-05-23 00:00:00,3087,Veronica's iPhone (2)
2020-05-24 00:00:00,290,Veronica's iPhone (2)
2020-05-25 00:00:00,3308,Veronica's iPhone (2)
2020-05-26 00:00:00,132,Veronica's iPhone (2)
2020-05-27 00:00:00,460,Veronica's iPhone (2)
2020-05-28 00:00:00,337,Veronica's iPhone (2)
2020-05-29 00:00:00,439,Veronica's iPhone (2)
2020-05-30 00:00:00,240,Veronica's iPhone (2)
2020-05-31 00:00:00,3532,Veronica's iPhone (2)
2020-06-01 00:00:00,983,Veronica's iPhone (2)
2020-06-02 00:00:00,455,Veronica's iPhone (2)
2020-06-03 00:00:00,3487,Veronica's iPhone (2)
2020-06-04 00:00:00,2748,Veronica's iPhone (2)
2020-06-05 00:00:00,2939,Veronica's iPhone (2)
2020-06-06 00:00:00,4380,Veronica's iPhone (2)
2020-06-07 00:00:00,1033,Veronica's iPhone (2)
2020-06-08 00:00:00,372,Veronica's iPhone (2)
2020-06-09 00:00:00,1260,Veronica's iPhone (2)
2020-06-10 00:00:00,777,Veronica's iPhone (2)
2020-06-11 00:00:00,125,Veronica's iPhone (2)
2020-06-12 00:00:00,5227,Veronica's iPhone (2)
2020-06-13 00:00:00,3932,Veronica's iPhone (2)
2020-06-14 00:00:00,2046,Veronica's iPhone (2)
2020-06-15 00:00:00,242,Veronica's iPhone (2)
2020-06-16 00:00:00,3877,Veronica's iPhone (2)
2020-06-17 00:00:00,360,Veronica's iPhone (2)
2020-06-18 00:00:00,5689,Veronica's iPhone (2)
2020-06-19 00:00:00,4054,Veronica's iPhone (2)
2020-06-20 00:00:00,2690,Veronica's iPhone (2)
2020-06-21 00:00:00,1246,Veronica's iPhone (2)
